"Variables","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.869431950884608,0.73886340096254,0.00704960937539717,0.0140921580241843
2,0.84832159907623,0.696642699795334,0.00633454887326252,0.0126599378392417
3,0.850994757031046,0.701988995065877,0.00606432485542587,0.0121211129126596
4,0.905140123134162,0.8102781938961,0.0133447067852825,0.0266927735582215
5,0.926730159212215,0.853460616146243,0.0191899325017252,0.0383813487701903
6,0.944686211110012,0.889372426093198,0.0124319600841764,0.0248667532850723
7,0.956819030860791,0.913638361680157,0.00627880571877625,0.0125571852329261
8,0.960383397908518,0.920766866943942,0.00516132463019048,0.0103226747734362
9,0.962919475864612,0.92583893406647,0.00507480095350529,0.0101499263588384
10,0.964427311223566,0.92885452681774,0.00493936739383145,0.00987925751049657
11,0.965112524337646,0.93022482013499,0.00533676520829556,0.0106747106223671
12,0.965112618228188,0.930224951378539,0.00539466529710845,0.0107907778493948
13,0.96648351429544,0.932966753954605,0.00542278043214919,0.0108469239573359
14,0.9667576276052,0.933515008206512,0.00576658895310561,0.0115342956652466
15,0.966072179635971,0.932144104858323,0.00573965965305587,0.0114804976896315
16,0.966415115164092,0.932830057312301,0.00533992174174826,0.0106807887774397
17,0.966552148346336,0.933103962750019,0.00585141857537662,0.0117043432011426
